Sample,Time,Decoder,Ann Row,Ann Class,Value,
8246834,82.468 ms,USB packet,Packets,Packet: NAK,NAK,
8250918,82.509 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8251235,82.512 ms,USB packet,Packets,Packet: NAK,NAK,
8256119,82.561 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8256433,82.564 ms,USB packet,Packets,Packet: NAK,NAK,
8260519,82.605 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8260834,82.608 ms,USB packet,Packets,Packet: NAK,NAK,
8264919,82.649 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8265234,82.652 ms,USB packet,Packets,Packet: NAK,NAK,
8269319,82.693 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8269635,82.696 ms,USB packet,Packets,Packet: NAK,NAK,
8273719,82.737 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8274034,82.740 ms,USB packet,Packets,Packet: NAK,NAK,
8278885,82.789 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8279200,82.792 ms,USB packet,Packets,Packet: NAK,NAK,
8283319,82.833 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8283634,82.836 ms,USB packet,Packets,Packet: NAK,NAK,
8287719,82.877 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8288035,82.880 ms,USB packet,Packets,Packet: NAK,NAK,
8292119,82.921 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8292435,82.924 ms,USB packet,Packets,Packet: NAK,NAK,
8296519,82.965 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8296834,82.968 ms,USB packet,Packets,Packet: NAK,NAK,
8300919,83.009 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8301235,83.012 ms,USB packet,Packets,Packet: NAK,NAK,
8306202,83.062 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
